historical_id,quarter,summary,feedback_mentions_90d,affected_mau,support_tickets_90d,mean_feedback_severity,engineering_days,dependency_count,premium_share,churn_risk_share,accessibility_or_compliance,incident_linked_count,prerequisite_ready,decision
HIST-0028,2023-Q1,Add social listening capability,400,677650,15,3.17,36,3,0.167,0.095,1,0,1,DEFERRED
HIST-0029,2023-Q2,Add language support,349,185343,25,2.56,39,1,0.399,0.442,0,2,1,REJECTED
HIST-0030,2023-Q1,Add language support,625,110304,27,4.08,43,3,0.400,0.334,0,5,0,REJECTED
HIST-0031,2023-Q1,Improve cross-device playback,99,79827,121,2.95,30,2,0.612,0.262,0,2,1,REJECTED
HIST-0032,2023-Q3,Add language support,68,304297,34,2.59,21,3,0.636,0.365,0,1,1,REJECTED
HIST-0033,2023-Q1,Add profile customization,1036,191473,119,3.75,26,4,0.588,0.246,0,0,1,DEFERRED
HIST-0034,2023-Q2,Improve family plan controls,411,356640,92,2.35,19,3,0.369,0.296,0,1,1,DEFERRED
HIST-0035,2023-Q4,Improve cross-device playback,35,256075,34,2.63,39,4,0.341,0.348,1,0,1,REJECTED
HIST-0036,2023-Q1,Improve podcast discovery,154,229810,433,2.62,29,3,0.249,0.123,0,4,1,REJECTED
HIST-0037,2023-Q3,Improve recommendation quality,346,324316,45,3.27,6,2,0.368,0.221,1,1,1,DEFERRED
HIST-0038,2023-Q4,Add premium audio capability,47,212986,48,4.60,6,1,0.617,0.450,0,0,1,REJECTED
HIST-0039,2023-Q2,Add premium audio capability,187,150685,100,1.68,6,4,0.215,0.219,1,1,1,DEFERRED
HIST-0040,2023-Q4,Add accessibility support to lyrics,71,429771,55,4.35,36,4,0.130,0.253,0,0,0,REJECTED
HIST-0041,2023-Q2,Add local event discovery,99,303730,76,2.95,40,3,0.444,0.228,0,0,1,REJECTED
HIST-0042,2023-Q3,Improve cross-device playback,112,154883,58,3.99,6,3,0.560,0.101,0,3,0,REJECTED
HIST-0043,2023-Q3,Add accessibility support to lyrics,585,1360162,178,1.00,32,3,0.147,0.224,1,7,1,SHIPPED_NEXT
HIST-0044,2023-Q4,Add profile customization,77,148576,151,1.98,43,4,0.679,0.338,0,6,1,REJECTED
HIST-0045,2023-Q4,Add accessibility support to lyrics,144,42618,269,3.24,26,1,0.910,0.318,1,0,1,DEFERRED
HIST-0046,2023-Q3,Improve family plan controls,175,126545,47,1.61,9,1,0.481,0.075,1,0,1,DEFERRED
HIST-0047,2023-Q2,Add creator analytics surface,396,103087,47,2.17,36,4,0.651,0.138,0,0,1,REJECTED
HIST-0048,2023-Q3,Add profile customization,32,1042158,117,1.66,13,2,0.484,0.391,0,5,0,REJECTED
HIST-0049,2023-Q4,Add premium audio capability,32,592929,291,1.99,43,4,0.806,0.124,1,0,1,REJECTED
HIST-0050,2023-Q1,Improve offline playback,205,182691,72,2.73,40,4,0.089,0.029,1,0,1,REJECTED
HIST-0051,2023-Q1,Reduce startup latency,320,203346,229,2.75,55,1,0.030,0.242,0,17,1,SHIPPED_NEXT
HIST-0052,2023-Q3,Improve cross-device playback,28,471264,143,2.24,32,1,0.030,0.254,0,3,1,REJECTED
HIST-0053,2023-Q1,Add AI-assisted content discovery,51,1546441,48,3.43,40,2,0.251,0.341,1,3,1,DEFERRED
HIST-0054,2023-Q2,Add creator analytics surface,26,409215,58,1.93,12,2,0.406,0.282,1,15,1,SHIPPED_NEXT
HIST-0055,2023-Q1,Add profile customization,28,86098,226,2.34,24,3,0.228,0.210,0,1,0,REJECTED
HIST-0056,2023-Q3,Improve network playback reliability,288,189217,77,2.37,32,2,0.221,0.158,0,6,1,REJECTED
HIST-0057,2023-Q3,Improve cross-device playback,115,409714,84,3.42,6,2,0.246,0.085,0,1,1,REJECTED
HIST-0058,2023-Q4,Improve offline playback,170,457136,127,2.83,27,2,0.354,0.158,0,2,0,DEFERRED
HIST-0059,2023-Q4,Improve search relevance,89,50724,112,3.79,21,1,0.511,0.282,0,4,1,REJECTED
HIST-0060,2023-Q2,Add profile customization,46,160860,17,2.27,6,1,0.030,0.240,0,0,1,REJECTED
HIST-0061,2023-Q2,Improve offline playback,237,110646,131,3.34,11,3,0.767,0.241,0,7,1,SHIPPED_NEXT
HIST-0062,2023-Q4,Improve podcast discovery,98,229997,102,3.50,16,3,0.262,0.094,0,1,1,REJECTED
HIST-0063,2023-Q4,Add social listening capability,203,94530,91,2.12,24,1,0.452,0.067,1,0,0,REJECTED
HIST-0064,2023-Q1,Add social listening capability,533,330539,95,1.76,30,2,0.247,0.250,1,0,1,DEFERRED
HIST-0065,2023-Q3,Add accessibility support to lyrics,59,171798,54,3.92,37,1,0.551,0.010,0,2,0,REJECTED
HIST-0066,2023-Q1,Improve search relevance,82,115857,143,2.96,16,4,0.980,0.306,0,1,1,REJECTED
HIST-0067,2023-Q3,Add profile customization,84,685487,82,3.85,26,3,0.814,0.240,0,0,0,REJECTED
HIST-0068,2023-Q2,Improve search relevance,100,165359,105,2.50,32,2,0.562,0.151,0,0,0,REJECTED
HIST-0069,2023-Q2,Add accessibility support to lyrics,247,236411,22,1.77,50,1,0.538,0.010,0,1,1,REJECTED
HIST-0070,2023-Q3,Improve search relevance,85,162613,110,3.62,44,0,0.225,0.202,0,0,1,REJECTED
HIST-0071,2023-Q1,Add local event discovery,76,161314,39,2.01,14,2,0.605,0.487,0,3,1,REJECTED
HIST-0072,2023-Q4,Add language support,730,950409,196,1.46,43,0,0.523,0.063,0,1,1,REJECTED
HIST-0073,2023-Q1,Add accessibility support to lyrics,168,872190,147,1.60,48,2,0.603,0.411,1,0,1,DEFERRED
HIST-0074,2023-Q2,Add social listening capability,441,132621,71,2.48,16,3,0.864,0.010,0,3,1,DEFERRED
HIST-0075,2023-Q2,Improve queue management,233,145902,163,2.93,30,3,0.107,0.174,0,0,1,REJECTED
HIST-0076,2023-Q1,Add accessibility support to lyrics,27,227687,38,3.13,56,3,0.431,0.059,1,0,1,REJECTED
HIST-0077,2023-Q2,Reduce mobile data consumption,170,565461,91,2.79,36,0,0.274,0.221,0,1,1,DEFERRED
HIST-0078,2023-Q1,Improve queue management,37,181167,267,2.88,43,2,0.774,0.165,0,6,0,REJECTED
HIST-0079,2023-Q4,Improve offline playback,61,87535,21,2.53,44,3,0.732,0.314,0,3,0,REJECTED
HIST-0080,2023-Q3,Improve podcast discovery,112,245851,102,2.48,37,1,0.370,0.270,0,4,1,DEFERRED
HIST-0081,2023-Q2,Modernize media delivery pipeline,153,94583,44,3.61,32,4,0.147,0.086,0,2,1,REJECTED
HIST-0082,2023-Q2,Reduce startup latency,123,792087,13,2.01,16,4,0.269,0.207,1,3,1,REJECTED
HIST-0083,2023-Q4,Add AI-assisted content discovery,96,541619,95,2.65,38,3,0.686,0.345,0,1,1,REJECTED
HIST-0084,2023-Q4,Improve offline playback,62,109730,328,3.65,14,2,0.463,0.231,0,2,1,REJECTED
HIST-0085,2023-Q4,Add premium audio capability,179,109674,32,3.65,9,2,0.543,0.100,0,18,1,SHIPPED_NEXT
HIST-0086,2023-Q2,Improve network playback reliability,162,115823,101,2.17,57,3,0.362,0.456,0,0,1,REJECTED
HIST-0087,2023-Q2,Reduce mobile data consumption,55,103370,58,2.64,47,0,0.252,0.211,0,9,1,DEFERRED
HIST-0088,2023-Q3,Improve search relevance,265,284628,152,1.76,39,2,0.534,0.010,0,18,0,SHIPPED_NEXT
HIST-0089,2023-Q4,Improve queue management,25,586826,88,3.47,35,2,0.417,0.350,0,0,1,REJECTED
HIST-0090,2023-Q4,Add language support,132,1970695,56,2.70,20,1,0.235,0.010,0,2,1,REJECTED
HIST-0091,2023-Q4,Reduce mobile data consumption,1002,578827,82,3.80,37,2,0.030,0.142,0,1,1,DEFERRED
HIST-0092,2023-Q2,Add social listening capability,186,180121,94,2.85,37,4,0.550,0.182,1,2,1,REJECTED
HIST-0093,2023-Q3,Improve podcast discovery,346,1042850,16,3.27,6,3,0.816,0.139,0,2,1,DEFERRED
HIST-0094,2023-Q3,Upgrade account safety controls,218,303900,68,3.81,6,4,0.980,0.352,0,0,0,REJECTED
HIST-0095,2023-Q3,Add premium audio capability,1466,178274,30,2.60,17,3,0.450,0.182,0,2,1,SHIPPED_NEXT
HIST-0096,2023-Q3,Modernize media delivery pipeline,102,154858,14,2.46,53,3,0.359,0.385,1,0,1,REJECTED
HIST-0097,2023-Q3,Improve family plan controls,202,254573,74,2.95,66,2,0.481,0.190,0,0,1,REJECTED
HIST-0098,2023-Q3,Improve search relevance,336,153185,45,3.71,46,5,0.390,0.201,0,2,1,REJECTED
HIST-0099,2023-Q2,Add profile customization,125,209886,22,4.47,52,2,0.335,0.230,0,0,1,REJECTED
HIST-0100,2023-Q1,Improve recommendation quality,62,432615,66,3.15,37,4,0.489,0.226,0,0,1,REJECTED
HIST-0101,2023-Q3,Add local event discovery,125,600491,29,4.02,28,2,0.249,0.234,0,3,1,REJECTED
HIST-0102,2023-Q2,Add profile customization,67,304021,36,2.38,31,2,0.157,0.306,0,0,1,REJECTED
HIST-0103,2023-Q3,Add premium audio capability,62,654132,71,1.44,27,3,0.494,0.073,0,0,1,REJECTED
HIST-0104,2023-Q1,Improve queue management,103,532473,57,1.64,27,2,0.541,0.343,0,1,1,REJECTED
HIST-0105,2023-Q1,Improve podcast discovery,71,130284,77,3.14,50,3,0.500,0.242,0,1,1,REJECTED
HIST-0106,2023-Q1,Improve network playback reliability,117,142672,79,2.10,26,4,0.680,0.237,1,2,1,DEFERRED
HIST-0107,2023-Q2,Improve queue management,55,224588,86,3.20,21,4,0.697,0.114,1,0,1,REJECTED
HIST-0108,2023-Q3,Improve cross-device playback,189,642846,62,2.82,37,2,0.582,0.368,0,2,1,REJECTED
HIST-0109,2023-Q4,Improve family plan controls,2699,304903,355,3.00,37,2,0.536,0.107,0,1,1,SHIPPED_NEXT
HIST-0110,2023-Q1,Modernize media delivery pipeline,363,1711537,9,2.35,49,1,0.147,0.010,0,1,1,REJECTED
HIST-0111,2023-Q4,Upgrade account safety controls,264,411039,119,2.77,36,2,0.535,0.161,1,0,0,REJECTED
HIST-0112,2023-Q2,Add premium audio capability,49,57325,82,2.72,17,2,0.184,0.128,1,0,1,REJECTED
HIST-0113,2023-Q1,Upgrade account safety controls,34,395570,81,2.36,28,2,0.522,0.243,0,1,1,REJECTED
HIST-0114,2023-Q1,Add creator analytics surface,119,151268,100,1.00,44,1,0.096,0.380,0,1,0,REJECTED
HIST-0115,2023-Q4,Improve recommendation quality,573,155199,272,2.02,31,4,0.393,0.160,1,0,1,REJECTED
HIST-0116,2023-Q1,Improve podcast discovery,51,881857,261,2.65,54,3,0.375,0.141,1,0,0,REJECTED
HIST-0117,2023-Q2,Improve family plan controls,100,297861,96,3.61,6,3,0.317,0.330,0,3,1,DEFERRED
HIST-0118,2023-Q3,Modernize media delivery pipeline,226,571008,153,2.97,41,4,0.348,0.196,0,0,1,REJECTED
HIST-0119,2023-Q3,Improve cross-device playback,43,260525,22,2.12,14,2,0.361,0.462,0,4,1,REJECTED
HIST-0120,2023-Q3,Add creator analytics surface,106,208589,128,2.89,30,3,0.114,0.185,0,0,1,REJECTED
HIST-0121,2024-Q4,Improve recommendation quality,314,182522,30,2.64,42,1,0.621,0.058,1,0,1,REJECTED
HIST-0122,2024-Q4,Improve network playback reliability,46,49893,95,3.70,39,3,0.453,0.237,0,9,1,REJECTED
HIST-0123,2024-Q3,Improve network playback reliability,1022,478340,104,4.10,21,4,0.394,0.279,0,8,1,SHIPPED_NEXT
HIST-0124,2024-Q4,Add premium audio capability,301,667200,103,1.71,35,1,0.750,0.175,0,0,1,DEFERRED
HIST-0125,2024-Q3,Reduce startup latency,119,119199,34,1.00,25,2,0.403,0.389,0,0,1,REJECTED
HIST-0126,2024-Q1,Improve offline playback,46,157510,21,1.00,17,0,0.057,0.148,0,1,1,REJECTED
HIST-0127,2024-Q4,Improve podcast discovery,357,511604,72,2.21,48,2,0.520,0.239,0,0,1,DEFERRED
HIST-0128,2024-Q2,Add creator analytics surface,157,122863,165,3.68,31,2,0.320,0.140,0,1,1,REJECTED
HIST-0129,2024-Q1,Add language support,297,497206,55,2.21,26,4,0.719,0.243,0,0,1,REJECTED
HIST-0130,2024-Q4,Reduce startup latency,29,215818,22,4.23,29,1,0.087,0.275,0,0,1,REJECTED
HIST-0131,2024-Q3,Improve recommendation quality,105,106356,20,2.00,37,2,0.491,0.086,1,2,1,REJECTED
HIST-0132,2024-Q3,Add creator analytics surface,363,537536,31,3.27,52,2,0.674,0.298,0,0,1,REJECTED
HIST-0133,2024-Q1,Upgrade account safety controls,72,334894,177,2.57,31,0,0.645,0.164,0,0,1,REJECTED
HIST-0134,2024-Q4,Improve network playback reliability,501,160932,52,2.66,20,3,0.367,0.040,0,0,1,DEFERRED
HIST-0135,2024-Q1,Improve recommendation quality,27,30028,28,2.33,46,4,0.415,0.390,0,2,1,REJECTED
HIST-0136,2024-Q2,Improve podcast discovery,251,146424,12,1.48,20,4,0.663,0.294,1,0,1,DEFERRED
HIST-0137,2024-Q3,Add creator analytics surface,28,180708,78,3.45,6,2,0.204,0.197,1,1,0,REJECTED
HIST-0138,2024-Q2,Improve queue management,127,199558,29,2.98,58,3,0.205,0.303,1,1,1,REJECTED
HIST-0139,2024-Q1,Add local event discovery,287,758507,59,4.41,45,1,0.718,0.277,0,0,1,REJECTED
HIST-0140,2024-Q3,Upgrade account safety controls,107,102403,129,2.83,6,2,0.428,0.010,0,0,1,REJECTED
HIST-0141,2024-Q2,Improve podcast discovery,10,353936,281,1.79,25,3,0.259,0.142,0,2,1,REJECTED
HIST-0142,2024-Q2,Add local event discovery,77,625486,137,3.59,33,1,0.592,0.169,0,1,1,DEFERRED
HIST-0143,2024-Q3,Add language support,29,39952,230,2.30,19,4,0.645,0.012,0,0,1,REJECTED
HIST-0144,2024-Q3,Improve podcast discovery,491,327456,194,2.95,31,2,0.248,0.272,0,2,1,SHIPPED_NEXT
HIST-0145,2024-Q2,Improve offline playback,48,191414,150,1.49,7,3,0.469,0.120,0,0,1,REJECTED
HIST-0146,2024-Q2,Add local event discovery,191,154280,34,2.78,52,4,0.584,0.173,0,1,1,REJECTED
HIST-0147,2024-Q2,Add social listening capability,87,613902,168,1.45,28,3,0.712,0.062,0,0,1,DEFERRED
HIST-0148,2024-Q2,Reduce mobile data consumption,85,366938,119,2.46,26,0,0.348,0.284,1,1,1,REJECTED
HIST-0149,2024-Q2,Improve cross-device playback,336,188314,42,2.14,48,1,0.452,0.336,1,0,1,REJECTED
HIST-0150,2024-Q2,Add premium audio capability,289,1256151,99,2.39,35,2,0.386,0.365,0,2,0,DEFERRED
HIST-0151,2024-Q2,Improve recommendation quality,58,179889,36,3.52,39,0,0.312,0.189,0,2,1,REJECTED
HIST-0152,2024-Q2,Add profile customization,167,93174,213,1.58,25,4,0.227,0.322,0,0,1,REJECTED
HIST-0153,2024-Q3,Improve recommendation quality,215,215401,81,2.81,23,1,0.327,0.360,0,1,1,REJECTED
HIST-0154,2024-Q1,Improve queue management,208,228433,206,2.47,30,1,0.629,0.314,0,1,1,DEFERRED
HIST-0155,2024-Q3,Add accessibility support to lyrics,656,261117,5,3.34,39,3,0.600,0.292,1,0,1,REJECTED
HIST-0156,2024-Q3,Improve offline playback,90,1505822,130,3.35,6,4,0.727,0.243,0,0,1,DEFERRED
HIST-0157,2024-Q3,Improve network playback reliability,16,164428,479,3.16,42,3,0.161,0.244,0,6,1,REJECTED
HIST-0158,2024-Q2,Modernize media delivery pipeline,551,840213,28,3.68,47,3,0.480,0.320,1,0,1,DEFERRED
HIST-0159,2024-Q3,Add premium audio capability,20,111206,270,2.72,48,3,0.239,0.247,0,7,1,REJECTED
HIST-0160,2024-Q3,Add creator analytics surface,129,107607,117,1.87,36,3,0.644,0.122,0,1,1,REJECTED
HIST-0161,2024-Q3,Improve family plan controls,154,488675,156,2.28,23,2,0.190,0.058,0,7,1,DEFERRED
HIST-0162,2024-Q4,Add premium audio capability,339,58616,49,1.86,49,2,0.236,0.277,0,0,1,REJECTED
HIST-0163,2024-Q2,Reduce startup latency,118,127122,259,3.02,34,3,0.724,0.408,0,0,1,REJECTED
HIST-0164,2024-Q4,Improve search relevance,440,70628,228,4.17,45,0,0.495,0.325,0,1,1,DEFERRED
HIST-0165,2024-Q1,Add creator analytics surface,2111,246823,32,3.38,27,2,0.419,0.160,1,6,1,SHIPPED_NEXT
HIST-0166,2024-Q1,Add AI-assisted content discovery,80,300835,121,3.33,35,4,0.621,0.273,0,0,1,REJECTED
HIST-0167,2024-Q1,Add language support,42,137437,122,3.63,51,0,0.405,0.111,0,1,1,REJECTED
HIST-0168,2024-Q1,Add accessibility support to lyrics,42,240049,56,2.92,27,3,0.251,0.422,0,2,1,REJECTED
HIST-0169,2024-Q3,Improve queue management,353,291670,98,1.68,32,2,0.686,0.290,0,1,1,REJECTED
HIST-0170,2024-Q3,Upgrade account safety controls,417,899942,103,4.08,29,2,0.498,0.198,0,1,1,REJECTED
HIST-0171,2024-Q2,Improve podcast discovery,226,111592,81,2.39,31,2,0.656,0.010,0,0,1,REJECTED
HIST-0172,2024-Q1,Add creator analytics surface,285,328334,57,2.67,31,2,0.379,0.079,1,0,1,DEFERRED
HIST-0173,2024-Q2,Reduce mobile data consumption,610,143184,184,1.61,10,3,0.156,0.093,0,0,1,REJECTED
HIST-0174,2024-Q2,Add social listening capability,204,507056,133,3.39,26,5,0.483,0.074,1,2,1,DEFERRED
HIST-0175,2024-Q4,Improve offline playback,12,244391,206,2.39,28,3,0.302,0.332,0,2,0,REJECTED
HIST-0176,2024-Q3,Reduce startup latency,66,389771,76,1.79,19,2,0.270,0.289,1,0,1,REJECTED
HIST-0177,2024-Q4,Add profile customization,136,216874,374,1.96,30,4,0.058,0.010,0,0,1,REJECTED
HIST-0178,2024-Q4,Add profile customization,65,601908,8,2.86,15,5,0.792,0.037,0,0,1,REJECTED
HIST-0179,2024-Q4,Upgrade account safety controls,488,410900,339,3.14,57,3,0.403,0.028,0,5,0,REJECTED
HIST-0180,2024-Q1,Reduce startup latency,104,158166,50,2.40,6,3,0.626,0.155,0,4,0,REJECTED
HIST-0181,2024-Q2,Improve podcast discovery,624,341444,130,4.36,25,2,0.447,0.209,1,6,0,DEFERRED
HIST-0182,2024-Q2,Add premium audio capability,432,343429,129,2.21,27,4,0.030,0.369,0,4,1,REJECTED
HIST-0183,2024-Q3,Add social listening capability,33,196317,138,2.82,24,1,0.430,0.400,0,0,1,REJECTED
HIST-0184,2024-Q2,Improve offline playback,217,118570,73,3.39,16,1,0.719,0.163,1,2,1,DEFERRED
HIST-0185,2024-Q1,Improve family plan controls,197,60026,31,3.69,38,2,0.282,0.059,0,1,1,REJECTED
HIST-0186,2024-Q1,Reduce startup latency,185,131885,144,3.22,43,6,0.424,0.311,0,0,1,REJECTED
HIST-0187,2024-Q2,Improve network playback reliability,15,424794,27,1.66,21,2,0.592,0.252,0,0,1,REJECTED
HIST-0188,2024-Q3,Add AI-assisted content discovery,437,153705,87,1.89,47,1,0.355,0.258,0,1,1,DEFERRED
HIST-0189,2024-Q3,Improve search relevance,106,528770,305,2.42,23,2,0.149,0.172,1,1,1,DEFERRED
HIST-0190,2024-Q1,Improve network playback reliability,143,457768,188,2.06,9,1,0.471,0.415,0,2,1,DEFERRED
HIST-0191,2024-Q1,Reduce mobile data consumption,38,331314,18,2.39,29,2,0.171,0.333,0,3,1,REJECTED
HIST-0192,2024-Q1,Add accessibility support to lyrics,34,457705,101,3.25,34,3,0.191,0.058,0,3,1,REJECTED
HIST-0193,2024-Q3,Modernize media delivery pipeline,136,73693,51,2.48,9,3,0.443,0.149,0,2,0,REJECTED
HIST-0194,2024-Q1,Add local event discovery,779,297387,41,3.20,17,0,0.647,0.288,0,3,0,DEFERRED
HIST-0195,2024-Q4,Improve family plan controls,51,51291,60,2.86,22,2,0.030,0.384,1,4,1,DEFERRED
HIST-0196,2024-Q4,Improve network playback reliability,25,210442,59,2.97,40,0,0.431,0.251,0,9,1,DEFERRED
HIST-0197,2024-Q4,Add accessibility support to lyrics,677,232517,105,2.94,10,1,0.374,0.196,1,0,1,SHIPPED_NEXT
HIST-0198,2024-Q4,Improve podcast discovery,29,493777,74,2.10,44,1,0.108,0.318,0,3,1,REJECTED
HIST-0199,2024-Q2,Improve search relevance,324,449981,27,3.04,24,2,0.459,0.094,0,0,0,REJECTED
HIST-0200,2024-Q1,Add social listening capability,82,249391,37,3.13,15,2,0.325,0.074,0,1,1,REJECTED
HIST-0201,2024-Q1,Improve podcast discovery,46,572695,116,2.68,20,3,0.964,0.076,0,1,1,REJECTED
HIST-0202,2024-Q2,Add social listening capability,265,226226,203,2.31,9,1,0.254,0.049,1,0,0,REJECTED
HIST-0203,2024-Q4,Improve podcast discovery,71,737662,95,3.66,46,1,0.752,0.224,1,0,1,REJECTED
HIST-0204,2024-Q3,Add local event discovery,95,36846,73,2.03,35,2,0.474,0.084,0,10,1,DEFERRED
HIST-0205,2024-Q3,Add local event discovery,236,149588,75,3.40,23,4,0.255,0.202,0,0,1,REJECTED
HIST-0206,2024-Q3,Add social listening capability,41,185828,93,2.70,35,3,0.117,0.224,0,0,0,REJECTED
HIST-0207,2024-Q2,Reduce mobile data consumption,147,111750,50,2.54,34,2,0.467,0.301,0,1,1,REJECTED
HIST-0208,2024-Q1,Reduce startup latency,229,88189,54,1.56,6,2,0.529,0.399,0,2,1,REJECTED
HIST-0209,2024-Q3,Add creator analytics surface,283,157089,48,3.05,43,2,0.454,0.173,0,0,1,REJECTED
HIST-0210,2024-Q4,Modernize media delivery pipeline,135,203567,332,1.84,41,3,0.315,0.137,0,0,1,REJECTED
HIST-0211,2024-Q3,Improve offline playback,46,134202,56,2.08,53,4,0.370,0.326,0,0,1,REJECTED
HIST-0212,2024-Q1,Add language support,70,25725,209,2.97,22,3,0.424,0.236,0,1,1,REJECTED
HIST-0213,2024-Q4,Add premium audio capability,44,76029,567,3.15,27,3,0.363,0.010,1,0,1,REJECTED
HIST-0214,2024-Q3,Add profile customization,178,517264,28,1.76,17,2,0.538,0.020,0,8,1,DEFERRED
HIST-0215,2024-Q1,Modernize media delivery pipeline,77,456730,101,1.81,55,1,0.232,0.257,0,0,1,REJECTED
HIST-0216,2024-Q3,Add local event discovery,109,235113,318,2.34,41,3,0.550,0.145,0,0,1,REJECTED
HIST-0217,2024-Q1,Improve offline playback,225,88152,131,2.21,12,3,0.568,0.233,0,2,1,REJECTED
HIST-0218,2024-Q1,Improve podcast discovery,38,177675,242,3.16,6,1,0.865,0.407,0,1,1,DEFERRED
HIST-0219,2024-Q3,Improve podcast discovery,42,55098,69,3.19,11,2,0.183,0.142,0,0,1,REJECTED
HIST-0220,2024-Q3,Improve search relevance,32,460643,16,3.34,15,2,0.230,0.135,0,3,1,REJECTED
HIST-0221,2024-Q4,Modernize media delivery pipeline,112,126464,37,3.36,16,3,0.612,0.430,0,0,1,REJECTED
HIST-0222,2024-Q4,Add local event discovery,56,77190,19,2.64,27,3,0.603,0.137,0,0,0,REJECTED
HIST-0223,2024-Q3,Upgrade account safety controls,332,389186,164,1.82,27,3,0.299,0.148,0,4,1,DEFERRED
HIST-0224,2024-Q2,Improve podcast discovery,44,652248,27,1.95,27,1,0.853,0.259,0,0,1,REJECTED
HIST-0225,2024-Q2,Add AI-assisted content discovery,2947,325124,210,3.16,14,2,0.200,0.208,0,4,1,SHIPPED_NEXT
HIST-0226,2024-Q3,Add profile customization,282,383629,46,1.86,29,1,0.451,0.095,0,4,1,DEFERRED
HIST-0227,2024-Q4,Add language support,221,604388,28,3.65,31,4,0.353,0.410,0,0,1,REJECTED
HIST-0228,2024-Q3,Improve offline playback,129,73870,29,2.54,25,3,0.480,0.023,1,0,1,REJECTED
HIST-0229,2024-Q2,Improve offline playback,138,133081,327,2.65,48,3,0.500,0.440,0,8,1,DEFERRED
HIST-0230,2024-Q2,Add accessibility support to lyrics,71,471140,208,2.48,49,0,0.607,0.459,0,16,1,SHIPPED_NEXT
HIST-0231,2024-Q4,Improve family plan controls,154,341694,68,2.49,40,1,0.285,0.316,0,1,1,DEFERRED
HIST-0232,2024-Q1,Improve offline playback,308,66279,13,3.73,10,2,0.185,0.010,0,3,1,REJECTED
HIST-0233,2024-Q2,Improve queue management,1097,86346,47,1.65,24,0,0.030,0.199,0,0,1,REJECTED
