feedback_id,submitted_at,channel,region,plan,severity,text,audited_requirement_id
FB-0083,2026-07-26,app_store,PH,individual,5,I commute on mobile data and streaming uses too much of my monthly allowance. I keep running into this problem.,
FB-0084,2026-04-10,in_app,TH,family,4,Streaming should automatically use less data when signal quality drops.,REQ-301
FB-0085,2026-02-12,support_chat,PH,individual,4,Music keeps buffering on 4G where I live; a data saver would help. This has been missing for a long time.,
FB-0086,2026-02-01,email,DE,family,1,Streaming should automatically use less data when signal quality drops.,
FB-0087,2026-08-23,community,SG,student,4,Streaming should automatically use less data when signal quality drops. This would make the app much more useful.,
FB-0088,2026-04-15,app_store,US,free,3,Streaming should automatically use less data when signal quality drops.,
FB-0089,2026-02-19,support_chat,ID,duo,3,Music keeps buffering on 4G where I live; a data saver would help. This has been missing for a long time.,
FB-0090,2026-02-03,community,PH,family,1,I need an option that reduces bitrate when the network is weak.,
FB-0091,2026-02-06,community,SG,free,3,I commute on mobile data and streaming uses too much of my monthly allowance. I keep running into this problem.,
FB-0092,2026-08-08,app_store,BR,free,4,Music keeps buffering on 4G where I live; a data saver would help.,
FB-0093,2026-03-09,in_app,TH,individual,2,Please add a low data setting because my connection is slow on the train. I would use this immediately.,
FB-0094,2026-06-25,support_chat,ID,free,2,I commute on mobile data and streaming uses too much of my monthly allowance.,REQ-301
FB-0095,2026-05-17,in_app,PH,student,3,Music keeps buffering on 4G where I live; a data saver would help. Please prioritize this.,
FB-0096,2026-06-11,community,ID,individual,2,I listen to songs in other languages and would use real-time lyric translation every day.,
FB-0097,2026-02-08,in_app,MX,free,2,I love reading lyrics but I want them translated into my language. This is important enough to keep me subscribed.,REQ-302
FB-0098,2026-04-11,email,SG,duo,3,Can lyrics translate live while the song is playing? I keep running into this problem.,
FB-0099,2026-06-08,app_store,SG,family,2,I listen to songs in other languages and would use real-time lyric translation every day.,
FB-0100,2026-07-06,email,US,duo,4,I love reading lyrics but I want them translated into my language. I keep running into this problem.,
FB-0101,2026-01-02,support_chat,DE,free,2,Could synchronized lyrics have an instant translation option? I keep running into this problem.,
FB-0102,2026-02-18,community,SG,individual,2,Please show translated lyrics without making me leave the player.,REQ-302
FB-0103,2026-07-08,support_chat,DE,free,3,I listen to songs in other languages and would use real-time lyric translation every day.,
FB-0104,2026-02-25,app_store,JP,free,1,Could synchronized lyrics have an instant translation option? Please prioritize this.,
FB-0105,2026-06-02,community,ID,individual,1,Could synchronized lyrics have an instant translation option? I would use this immediately.,
FB-0106,2026-07-16,community,IN,student,3,Please show translated lyrics without making me leave the player.,REQ-302
FB-0107,2026-02-28,community,ID,family,2,Could synchronized lyrics have an instant translation option? I keep running into this problem.,
FB-0108,2026-08-02,in_app,BR,family,1,Could synchronized lyrics have an instant translation option? This has been missing for a long time.,REQ-302
FB-0109,2026-08-27,app_store,PH,individual,3,Please show translated lyrics without making me leave the player.,REQ-302
FB-0110,2026-02-27,app_store,MY,duo,1,I love reading lyrics but I want them translated into my language.,REQ-302
FB-0111,2026-04-27,community,GB,family,2,Can lyrics translate live while the song is playing? I would use this immediately.,REQ-302
FB-0112,2026-03-26,app_store,BR,individual,2,Please show translated lyrics without making me leave the player.,
FB-0113,2026-05-25,app_store,TH,free,2,Please show translated lyrics without making me leave the player.,
FB-0114,2026-06-08,in_app,ID,duo,2,Could synchronized lyrics have an instant translation option? I would use this immediately.,REQ-302
FB-0115,2026-02-21,support_chat,DE,free,3,Could synchronized lyrics have an instant translation option? This has been missing for a long time.,
FB-0116,2026-02-24,support_chat,IN,student,1,I love reading lyrics but I want them translated into my language. This is important enough to keep me subscribed.,
FB-0117,2026-07-26,app_store,BR,student,1,I listen to songs in other languages and would use real-time lyric translation every day.,
FB-0118,2026-06-10,email,GB,duo,2,Can lyrics translate live while the song is playing? This would make the app much more useful.,
FB-0119,2026-05-24,support_chat,BR,duo,3,I listen to songs in other languages and would use real-time lyric translation every day.,REQ-302
FB-0120,2026-06-26,community,PH,free,2,Please show translated lyrics without making me leave the player. I keep running into this problem.,REQ-302
FB-0121,2026-06-22,email,GB,student,2,Could synchronized lyrics have an instant translation option? I would use this immediately.,
FB-0122,2026-04-13,email,IN,free,3,I listen to songs in other languages and would use real-time lyric translation every day. This is important enough to keep me subscribed.,
FB-0123,2026-07-16,app_store,JP,duo,1,I listen to songs in other languages and would use real-time lyric translation every day. Please prioritize this.,REQ-302
FB-0124,2026-02-25,email,ID,free,3,Could synchronized lyrics have an instant translation option?,REQ-302
FB-0125,2026-03-23,app_store,US,free,2,I listen to songs in other languages and would use real-time lyric translation every day. This is important enough to keep me subscribed.,
FB-0126,2026-01-05,support_chat,GB,individual,1,I love reading lyrics but I want them translated into my language.,REQ-302
FB-0127,2026-08-26,support_chat,MY,free,2,Can lyrics translate live while the song is playing?,
FB-0128,2026-03-19,app_store,TH,family,2,I listen to songs in other languages and would use real-time lyric translation every day. Please prioritize this.,REQ-302
FB-0129,2026-01-23,support_chat,US,individual,2,Can lyrics translate live while the song is playing?,
FB-0130,2026-03-27,in_app,TH,student,1,Could synchronized lyrics have an instant translation option?,
FB-0131,2026-06-27,in_app,IN,free,1,Could synchronized lyrics have an instant translation option? This is important enough to keep me subscribed.,
FB-0132,2026-06-04,email,IN,family,1,I love reading lyrics but I want them translated into my language. Please prioritize this.,
FB-0133,2026-04-16,support_chat,GB,individual,2,I love reading lyrics but I want them translated into my language.,
FB-0134,2026-01-26,in_app,SG,student,1,I love reading lyrics but I want them translated into my language. This would make the app much more useful.,
FB-0135,2026-03-27,in_app,MX,family,1,Could synchronized lyrics have an instant translation option? This is important enough to keep me subscribed.,
FB-0136,2026-02-12,app_store,JP,student,2,Please show translated lyrics without making me leave the player. This has been missing for a long time.,
FB-0137,2026-04-09,email,JP,family,2,Can lyrics translate live while the song is playing?,REQ-302
FB-0138,2026-05-19,in_app,IN,free,2,Please show translated lyrics without making me leave the player.,
FB-0139,2026-02-17,app_store,JP,student,3,Please show translated lyrics without making me leave the player. This is important enough to keep me subscribed.,
FB-0140,2026-08-02,app_store,MY,individual,3,Please show translated lyrics without making me leave the player. This is important enough to keep me subscribed.,
FB-0141,2026-04-12,in_app,JP,family,2,I listen to songs in other languages and would use real-time lyric translation every day. Please prioritize this.,
FB-0142,2026-01-06,email,MY,duo,1,I love reading lyrics but I want them translated into my language. Please prioritize this.,REQ-302
FB-0143,2026-03-28,community,BR,student,3,Can lyrics translate live while the song is playing? I would use this immediately.,
FB-0144,2026-02-16,support_chat,JP,student,1,Can lyrics translate live while the song is playing? This has been missing for a long time.,
FB-0145,2026-06-18,support_chat,SG,student,3,Please show translated lyrics without making me leave the player.,
FB-0146,2026-06-09,in_app,GB,student,2,Can lyrics translate live while the song is playing? This would make the app much more useful.,REQ-302
FB-0147,2026-01-12,in_app,TH,family,1,I love reading lyrics but I want them translated into my language. I would use this immediately.,
FB-0148,2026-08-05,support_chat,DE,family,2,Could synchronized lyrics have an instant translation option?,
FB-0149,2026-02-19,app_store,IN,individual,2,Could synchronized lyrics have an instant translation option?,
FB-0150,2026-02-09,email,TH,family,3,Please show translated lyrics without making me leave the player. I would use this immediately.,
FB-0151,2026-05-18,app_store,DE,family,1,I love reading lyrics but I want them translated into my language. I would use this immediately.,
FB-0152,2026-04-25,support_chat,MX,duo,2,I listen to songs in other languages and would use real-time lyric translation every day.,
FB-0153,2026-06-03,support_chat,MX,individual,2,Can lyrics translate live while the song is playing? This is important enough to keep me subscribed.,
FB-0154,2026-01-02,email,IN,individual,1,Could synchronized lyrics have an instant translation option?,REQ-302
FB-0155,2026-06-04,app_store,US,family,3,Could synchronized lyrics have an instant translation option? I would use this immediately.,
FB-0156,2026-03-09,app_store,GB,student,3,I listen to songs in other languages and would use real-time lyric translation every day.,
FB-0157,2026-05-15,community,IN,individual,2,Can lyrics translate live while the song is playing? This would make the app much more useful.,
FB-0158,2026-03-02,in_app,MX,student,3,Please show translated lyrics without making me leave the player. Please prioritize this.,
FB-0159,2026-01-05,community,IN,family,3,Could synchronized lyrics have an instant translation option? I would use this immediately.,
FB-0160,2026-01-08,community,MX,individual,2,I listen to songs in other languages and would use real-time lyric translation every day. I keep running into this problem.,
FB-0161,2026-01-19,support_chat,TH,duo,2,Can lyrics translate live while the song is playing? I would use this immediately.,
FB-0162,2026-08-12,email,PH,duo,2,Please show translated lyrics without making me leave the player. This is important enough to keep me subscribed.,REQ-302
FB-0163,2026-04-20,app_store,DE,student,2,Could synchronized lyrics have an instant translation option? This would make the app much more useful.,
FB-0164,2026-07-20,in_app,BR,student,2,Can lyrics translate live while the song is playing? I keep running into this problem.,
FB-0165,2026-02-04,community,GB,duo,2,Could synchronized lyrics have an instant translation option?,
FB-0166,2026-05-07,app_store,SG,individual,2,I listen to songs in other languages and would use real-time lyric translation every day. I keep running into this problem.,
FB-0167,2026-06-24,in_app,DE,student,1,I love reading lyrics but I want them translated into my language. This is important enough to keep me subscribed.,
FB-0168,2026-04-15,support_chat,MY,free,1,I listen to songs in other languages and would use real-time lyric translation every day. This has been missing for a long time.,
FB-0169,2026-08-21,app_store,TH,family,1,I love reading lyrics but I want them translated into my language.,REQ-302
FB-0170,2026-06-23,support_chat,DE,free,4,I love reading lyrics but I want them translated into my language. Please prioritize this.,
FB-0171,2026-08-08,support_chat,PH,family,1,Could synchronized lyrics have an instant translation option? This has been missing for a long time.,
FB-0172,2026-06-09,community,MX,family,4,I listen to songs in other languages and would use real-time lyric translation every day. I would use this immediately.,
FB-0173,2026-03-19,in_app,DE,free,2,Please show translated lyrics without making me leave the player. I keep running into this problem.,
FB-0174,2026-06-13,in_app,US,student,2,Please add track votes to group sessions. I keep running into this problem.,
FB-0175,2026-08-18,community,MY,duo,2,Please add track votes to group sessions.,
FB-0176,2026-04-25,community,TH,student,3,Group sessions need voting because one person keeps controlling the queue. I would use this immediately.,REQ-303
FB-0177,2026-06-10,support_chat,GB,family,1,Please add track votes to group sessions. I would use this immediately.,
FB-0178,2026-07-01,email,IN,student,2,Please add track votes to group sessions. Please prioritize this.,
FB-0179,2026-08-18,email,ID,free,1,Our friends want to reorder the queue by votes.,
FB-0180,2026-06-14,email,SG,free,3,Our friends want to reorder the queue by votes. This is important enough to keep me subscribed.,
FB-0181,2026-02-05,community,JP,student,3,A shared queue needs democratic voting when we use group mode.,
FB-0182,2026-06-25,support_chat,JP,student,1,Let everyone in the listening party vote songs up or down. This has been missing for a long time.,
FB-0183,2026-01-14,app_store,ID,individual,3,Group sessions need voting because one person keeps controlling the queue. I keep running into this problem.,REQ-303
FB-0184,2026-01-11,in_app,ID,student,1,Our friends want to reorder the queue by votes. This would make the app much more useful.,
FB-0185,2026-06-02,in_app,TH,individual,2,Our friends want to reorder the queue by votes. This is important enough to keep me subscribed.,
FB-0186,2026-02-16,support_chat,MY,individual,1,Please add track votes to group sessions. This is important enough to keep me subscribed.,REQ-303
FB-0187,2026-06-08,community,SG,individual,4,Let everyone in the listening party vote songs up or down.,
FB-0188,2026-05-25,app_store,US,student,1,A shared queue needs democratic voting when we use group mode. This is important enough to keep me subscribed.,REQ-303
FB-0189,2026-05-01,community,US,duo,1,Let everyone in the listening party vote songs up or down.,
FB-0190,2026-03-15,email,US,family,1,Please add track votes to group sessions.,
FB-0191,2026-08-21,community,ID,free,3,Group sessions need voting because one person keeps controlling the queue.,
FB-0192,2026-01-24,app_store,IN,individual,3,Let everyone in the listening party vote songs up or down. I would use this immediately.,
FB-0193,2026-07-27,in_app,US,free,1,Let everyone in the listening party vote songs up or down. This is important enough to keep me subscribed.,
FB-0194,2026-05-15,app_store,TH,free,1,Group sessions need voting because one person keeps controlling the queue. This would make the app much more useful.,REQ-303
FB-0195,2026-03-02,support_chat,BR,duo,3,A shared queue needs democratic voting when we use group mode.,
FB-0196,2026-03-26,in_app,ID,free,2,A shared queue needs democratic voting when we use group mode. This is important enough to keep me subscribed.,
FB-0197,2026-06-09,support_chat,DE,duo,2,Our friends want to reorder the queue by votes. This is important enough to keep me subscribed.,
FB-0198,2026-08-20,in_app,TH,duo,4,Group sessions need voting because one person keeps controlling the queue. Please prioritize this.,REQ-303
FB-0199,2026-02-07,support_chat,DE,duo,3,Group sessions need voting because one person keeps controlling the queue.,
FB-0200,2026-06-27,support_chat,MY,family,2,Group sessions need voting because one person keeps controlling the queue.,
FB-0201,2026-02-18,support_chat,DE,free,2,Let everyone in the listening party vote songs up or down. This is important enough to keep me subscribed.,
FB-0202,2026-08-24,in_app,BR,duo,3,Please add track votes to group sessions. I keep running into this problem.,
FB-0203,2026-02-14,in_app,SG,family,3,Let everyone in the listening party vote songs up or down.,
FB-0204,2026-02-03,app_store,BR,free,3,Group sessions need voting because one person keeps controlling the queue.,
FB-0205,2026-03-20,community,MY,student,4,Group sessions need voting because one person keeps controlling the queue. This would make the app much more useful.,
FB-0206,2026-06-02,community,MY,free,2,Our friends want to reorder the queue by votes.,
FB-0207,2026-08-09,email,US,free,2,Group sessions need voting because one person keeps controlling the queue. This is important enough to keep me subscribed.,
FB-0208,2026-08-01,in_app,US,student,1,A shared queue needs democratic voting when we use group mode.,
FB-0209,2026-06-23,community,JP,duo,3,A shared queue needs democratic voting when we use group mode. I keep running into this problem.,
FB-0210,2026-08-02,support_chat,MY,duo,1,Please add track votes to group sessions. Please prioritize this.,REQ-303
FB-0211,2026-08-09,community,JP,individual,4,Let everyone in the listening party vote songs up or down. This is important enough to keep me subscribed.,
FB-0212,2026-05-01,in_app,BR,student,2,Please add track votes to group sessions. I keep running into this problem.,
FB-0213,2026-06-19,email,DE,student,1,A shared queue needs democratic voting when we use group mode.,
FB-0214,2026-05-13,in_app,US,duo,2,Please add track votes to group sessions.,
FB-0215,2026-01-13,community,GB,free,2,A shared queue needs democratic voting when we use group mode. This would make the app much more useful.,REQ-303
FB-0216,2026-03-15,in_app,MX,student,3,Our friends want to reorder the queue by votes.,
FB-0217,2026-05-01,in_app,MY,family,2,Let everyone in the listening party vote songs up or down.,
FB-0218,2026-01-17,app_store,BR,student,2,Please add track votes to group sessions. This would make the app much more useful.,
FB-0219,2026-04-14,in_app,BR,duo,2,A shared queue needs democratic voting when we use group mode.,
FB-0220,2026-07-21,app_store,MX,family,2,A shared queue needs democratic voting when we use group mode. I would use this immediately.,REQ-303
FB-0221,2026-04-04,in_app,GB,family,1,A shared queue needs democratic voting when we use group mode. Please prioritize this.,REQ-303
FB-0222,2026-02-25,support_chat,MY,family,2,Please add track votes to group sessions. This has been missing for a long time.,
FB-0223,2026-06-17,community,MY,duo,3,Group sessions need voting because one person keeps controlling the queue. I would use this immediately.,
FB-0224,2026-06-08,email,DE,duo,3,A shared queue needs democratic voting when we use group mode.,REQ-303
FB-0225,2026-02-02,in_app,JP,student,3,A shared queue needs democratic voting when we use group mode. This has been missing for a long time.,
FB-0226,2026-02-08,support_chat,TH,free,2,A shared queue needs democratic voting when we use group mode. This would make the app much more useful.,REQ-303
FB-0227,2026-06-06,support_chat,BR,duo,1,Our friends want to reorder the queue by votes. This is important enough to keep me subscribed.,REQ-303
FB-0228,2026-01-10,in_app,GB,student,1,Our friends want to reorder the queue by votes. This would make the app much more useful.,
FB-0229,2026-08-28,in_app,JP,free,3,Please add track votes to group sessions.,
FB-0230,2026-08-22,email,BR,family,2,Group sessions need voting because one person keeps controlling the queue.,
FB-0231,2026-01-23,in_app,SG,student,2,Let everyone in the listening party vote songs up or down. Please prioritize this.,
FB-0232,2026-03-26,community,SG,free,2,Group sessions need voting because one person keeps controlling the queue. This would make the app much more useful.,
FB-0233,2026-04-21,support_chat,JP,family,2,Please add track votes to group sessions.,
FB-0234,2026-04-01,email,US,family,2,Our friends want to reorder the queue by votes.,
FB-0235,2026-01-21,in_app,DE,duo,3,A shared queue needs democratic voting when we use group mode. Please prioritize this.,
FB-0236,2026-06-18,email,BR,individual,1,Premium should include lossless music.,REQ-304
FB-0237,2026-08-06,community,US,individual,2,Please add true lossless audio for premium headphones.,
FB-0238,2026-02-11,app_store,MY,free,3,Premium should include lossless music. Please prioritize this.,
FB-0239,2026-03-08,in_app,BR,duo,1,I would pay for higher quality lossless audio.,REQ-304
FB-0240,2026-08-11,community,PH,free,2,Please add true lossless audio for premium headphones. This would make the app much more useful.,
FB-0241,2026-04-15,in_app,MX,student,2,Can we get bit-perfect lossless playback? I would use this immediately.,
FB-0242,2026-02-26,community,GB,family,2,I would pay for higher quality lossless audio.,REQ-304
FB-0243,2026-04-11,email,SG,free,2,I want a high fidelity lossless quality option.,
FB-0244,2026-03-15,in_app,ID,free,3,Premium should include lossless music. This has been missing for a long time.,
FB-0245,2026-08-21,in_app,TH,free,3,I would pay for higher quality lossless audio. Please prioritize this.,
FB-0246,2026-01-11,email,IN,free,5,Premium should include lossless music. I would use this immediately.,REQ-304
FB-0247,2026-08-10,support_chat,MX,individual,3,Please add true lossless audio for premium headphones. Please prioritize this.,REQ-304
FB-0248,2026-06-23,in_app,DE,free,1,I would pay for higher quality lossless audio. I would use this immediately.,
FB-0249,2026-03-27,support_chat,BR,individual,2,I would pay for higher quality lossless audio. Please prioritize this.,
FB-0250,2026-03-22,app_store,BR,family,2,Can we get bit-perfect lossless playback?,REQ-304
FB-0251,2026-06-17,support_chat,GB,free,3,I would pay for higher quality lossless audio. This would make the app much more useful.,REQ-304
FB-0252,2026-02-13,email,PH,individual,2,I would pay for higher quality lossless audio. This would make the app much more useful.,
FB-0253,2026-02-05,email,IN,student,2,Premium should include lossless music. This has been missing for a long time.,
FB-0254,2026-06-19,community,ID,duo,1,I would pay for higher quality lossless audio.,
FB-0255,2026-04-02,support_chat,TH,individual,3,I would pay for higher quality lossless audio.,
FB-0256,2026-04-22,app_store,GB,free,3,I want a high fidelity lossless quality option. This is important enough to keep me subscribed.,
FB-0257,2026-05-19,app_store,TH,free,2,Can we get bit-perfect lossless playback?,
FB-0258,2026-06-20,community,PH,student,3,Please add true lossless audio for premium headphones. I keep running into this problem.,
FB-0259,2026-02-03,in_app,GB,student,1,I want a high fidelity lossless quality option. This would make the app much more useful.,REQ-304
FB-0260,2026-08-08,community,TH,duo,3,I would pay for higher quality lossless audio.,
FB-0261,2026-07-05,community,ID,duo,3,I want a high fidelity lossless quality option. This has been missing for a long time.,
FB-0262,2026-02-27,app_store,IN,duo,1,I want a high fidelity lossless quality option. This would make the app much more useful.,
FB-0263,2026-05-02,in_app,PH,family,3,Please add true lossless audio for premium headphones. Please prioritize this.,
FB-0264,2026-08-14,in_app,TH,individual,3,Please add true lossless audio for premium headphones. This would make the app much more useful.,
FB-0265,2026-06-14,community,ID,student,3,I want a high fidelity lossless quality option. This is important enough to keep me subscribed.,
FB-0266,2026-03-05,community,US,free,2,Can we get bit-perfect lossless playback? This is important enough to keep me subscribed.,
FB-0267,2026-05-17,support_chat,PH,duo,1,I would pay for higher quality lossless audio. I keep running into this problem.,
